2024-03-19 11:36:10 | INFO | model_worker | args: Namespace(host='localhost', port=21002, worker_address='http://localhost:21002', controller_address='http://localhost:21001', model_path='/home/w1nd/darkword/1darkword/model_train/Baichuan2-7B-Chat/darkword-Baichuan2-7B-Chat', revision='main', device='cuda', gpus=None, num_gpus=1, max_gpu_memory=None, dtype=None, load_8bit=False, cpu_offloading=False, gptq_ckpt=None, gptq_wbits=16, gptq_groupsize=-1, gptq_act_order=False, awq_ckpt=None, awq_wbits=16, awq_groupsize=-1, enable_exllama=False, exllama_max_seq_len=4096, exllama_gpu_split=None, exllama_cache_8bit=False, enable_xft=False, xft_max_seq_len=4096, xft_dtype=None, model_names=None, conv_template=None, embed_in_truncate=False, limit_worker_concurrency=5, stream_interval=2, no_register=False, seed=None, debug=False, ssl=False)
2024-03-19 11:36:10 | INFO | model_worker | Loading the model ['darkword-Baichuan2-7B-Chat'] on worker bc5a4d23 ...
2024-03-19 11:36:23 | INFO | model_worker | Register to controller
2024-03-19 11:36:23 | ERROR | stderr | Traceback (most recent call last):
2024-03-19 11:36:23 | ERROR | stderr |   File "/home/w1nd/.conda/envs/llm/lib/python3.10/site-packages/urllib3/connection.py", line 159, in _new_conn
2024-03-19 11:36:23 | ERROR | stderr |     conn = connection.create_connection(
2024-03-19 11:36:23 | ERROR | stderr |   File "/home/w1nd/.conda/envs/llm/lib/python3.10/site-packages/urllib3/util/connection.py", line 84, in create_connection
2024-03-19 11:36:23 | ERROR | stderr |     raise err
2024-03-19 11:36:23 | ERROR | stderr |   File "/home/w1nd/.conda/envs/llm/lib/python3.10/site-packages/urllib3/util/connection.py", line 74, in create_connection
2024-03-19 11:36:23 | ERROR | stderr |     sock.connect(sa)
2024-03-19 11:36:23 | ERROR | stderr | ConnectionRefusedError: [Errno 111] Connection refused
2024-03-19 11:36:23 | ERROR | stderr | 
2024-03-19 11:36:23 | ERROR | stderr | During handling of the above exception, another exception occurred:
2024-03-19 11:36:23 | ERROR | stderr | 
2024-03-19 11:36:23 | ERROR | stderr | Traceback (most recent call last):
2024-03-19 11:36:23 | ERROR | stderr |   File "/home/w1nd/.conda/envs/llm/lib/python3.10/site-packages/urllib3/connectionpool.py", line 670, in urlopen
2024-03-19 11:36:23 | ERROR | stderr |     httplib_response = self._make_request(
2024-03-19 11:36:23 | ERROR | stderr |   File "/home/w1nd/.conda/envs/llm/lib/python3.10/site-packages/urllib3/connectionpool.py", line 392, in _make_request
2024-03-19 11:36:23 | ERROR | stderr |     conn.request(method, url, **httplib_request_kw)
2024-03-19 11:36:23 | ERROR | stderr |   File "/home/w1nd/.conda/envs/llm/lib/python3.10/http/client.py", line 1283, in request
2024-03-19 11:36:23 | ERROR | stderr |     self._send_request(method, url, body, headers, encode_chunked)
2024-03-19 11:36:23 | ERROR | stderr |   File "/home/w1nd/.conda/envs/llm/lib/python3.10/http/client.py", line 1329, in _send_request
2024-03-19 11:36:23 | ERROR | stderr |     self.endheaders(body, encode_chunked=encode_chunked)
2024-03-19 11:36:23 | ERROR | stderr |   File "/home/w1nd/.conda/envs/llm/lib/python3.10/http/client.py", line 1278, in endheaders
2024-03-19 11:36:23 | ERROR | stderr |     self._send_output(message_body, encode_chunked=encode_chunked)
2024-03-19 11:36:23 | ERROR | stderr |   File "/home/w1nd/.conda/envs/llm/lib/python3.10/http/client.py", line 1038, in _send_output
2024-03-19 11:36:23 | ERROR | stderr |     self.send(msg)
2024-03-19 11:36:23 | ERROR | stderr |   File "/home/w1nd/.conda/envs/llm/lib/python3.10/http/client.py", line 976, in send
2024-03-19 11:36:23 | ERROR | stderr |     self.connect()
2024-03-19 11:36:23 | ERROR | stderr |   File "/home/w1nd/.conda/envs/llm/lib/python3.10/site-packages/urllib3/connection.py", line 187, in connect
2024-03-19 11:36:23 | ERROR | stderr |     conn = self._new_conn()
2024-03-19 11:36:23 | ERROR | stderr |   File "/home/w1nd/.conda/envs/llm/lib/python3.10/site-packages/urllib3/connection.py", line 171, in _new_conn
2024-03-19 11:36:23 | ERROR | stderr |     raise NewConnectionError(
2024-03-19 11:36:23 | ERROR | stderr | urllib3.exceptions.NewConnectionError: <urllib3.connection.HTTPConnection object at 0x7f117ce678e0>: Failed to establish a new connection: [Errno 111] Connection refused
2024-03-19 11:36:23 | ERROR | stderr | 
2024-03-19 11:36:23 | ERROR | stderr | During handling of the above exception, another exception occurred:
2024-03-19 11:36:23 | ERROR | stderr | 
2024-03-19 11:36:23 | ERROR | stderr | Traceback (most recent call last):
2024-03-19 11:36:23 | ERROR | stderr |   File "/home/w1nd/.conda/envs/llm/lib/python3.10/site-packages/requests/adapters.py", line 440, in send
2024-03-19 11:36:23 | ERROR | stderr |     resp = conn.urlopen(
